robot_id,event,data
robot3,CONFLICT_YIELD,"{""robot_id"": ""robot3"", ""event"": ""CONFLICT_YIELD"", ""peer"": ""robot1"", ""position"": [10.700000159442425, 5.600000083446503], ""mode"": ""coordinated""}"
robot1,OBSTACLE_RECEIVED,"{""robot_id"": ""robot1"", ""event"": ""OBSTACLE_RECEIVED"", ""from"": ""robot3"", ""position"": [10.63814747776403, 5.677083539335192], ""mode"": ""coordinated""}"
robot2,OBSTACLE_RECEIVED,"{""robot_id"": ""robot2"", ""event"": ""OBSTACLE_RECEIVED"", ""from"": ""robot3"", ""position"": [10.63814747776403, 5.677083539335192], ""mode"": ""coordinated""}"
robot3,CONFLICT_YIELD,"{""robot_id"": ""robot3"", ""event"": ""CONFLICT_YIELD"", ""peer"": ""robot1"", ""position"": [10.700000159442425, 5.600000083446503], ""mode"": ""coordinated""}"
robot3,CONFLICT_YIELD,"{""robot_id"": ""robot3"", ""event"": ""CONFLICT_YIELD"", ""peer"": ""robot1"", ""position"": [10.700000159442425, 5.700000084936619], ""mode"": ""coordinated""}"
robot3,OBSTACLE_RECEIVED,"{""robot_id"": ""robot3"", ""event"": ""OBSTACLE_RECEIVED"", ""from"": ""robot1"", ""position"": [11.053939595114928, 5.7559273814531124], ""mode"": ""coordinated""}"
robot2,OBSTACLE_RECEIVED,"{""robot_id"": ""robot2"", ""event"": ""OBSTACLE_RECEIVED"", ""from"": ""robot1"", ""position"": [11.053939595114928, 5.7559273814531124], ""mode"": ""coordinated""}"
robot3,CONFLICT_YIELD,"{""robot_id"": ""robot3"", ""event"": ""CONFLICT_YIELD"", ""peer"": ""robot1"", ""position"": [10.700000159442425, 5.700000084936619], ""mode"": ""coordinated""}"
robot3,CONFLICT_YIELD,"{""robot_id"": ""robot3"", ""event"": ""CONFLICT_YIELD"", ""peer"": ""robot1"", ""position"": [10.700000159442425, 5.700000084936619], ""mode"": ""coordinated""}"
robot2,OBSTACLE_RECEIVED,"{""robot_id"": ""robot2"", ""event"": ""OBSTACLE_RECEIVED"", ""from"": ""robot3"", ""position"": [10.626031307956598, 5.751266728253725], ""mode"": ""coordinated""}"
robot1,OBSTACLE_RECEIVED,"{""robot_id"": ""robot1"", ""event"": ""OBSTACLE_RECEIVED"", ""from"": ""robot3"", ""position"": [10.626031307956598, 5.751266728253725], ""mode"": ""coordinated""}"
robot3,CONFLICT_YIELD,"{""robot_id"": ""robot3"", ""event"": ""CONFLICT_YIELD"", ""peer"": ""robot1"", ""position"": [10.700000159442425, 5.700000084936619], ""mode"": ""coordinated""}"
robot3,CONFLICT_YIELD,"{""robot_id"": ""robot3"", ""event"": ""CONFLICT_YIELD"", ""peer"": ""robot1"", ""position"": [10.700000159442425, 5.700000084936619], ""mode"": ""coordinated""}"
robot3,OBSTACLE_RECEIVED,"{""robot_id"": ""robot3"", ""event"": ""OBSTACLE_RECEIVED"", ""from"": ""robot1"", ""position"": [11.094685845743586, 5.815442355316014], ""mode"": ""coordinated""}"
robot2,OBSTACLE_RECEIVED,"{""robot_id"": ""robot2"", ""event"": ""OBSTACLE_RECEIVED"", ""from"": ""robot1"", ""position"": [11.094685845743586, 5.815442355316014], ""mode"": ""coordinated""}"
robot3,CONFLICT_YIELD,"{""robot_id"": ""robot3"", ""event"": ""CONFLICT_YIELD"", ""peer"": ""robot1"", ""position"": [10.700000159442425, 5.700000084936619], ""mode"": ""coordinated""}"
